======================================================================
JOTA: multi-query averaging R20, k in {1,3,5,10,20}, nm in {100,300,700,1000}
OUTPUT_DIR=/output
======================================================================
[preflight] OK
[model] resnet20 loaded
[config] nm=[100, 300, 700, 1000]  k=[1, 3, 5, 10, 20]  n_cols=50  n_trials=20
Layer                                   nm   k= 1  k= 3  k= 5  k=10  k=20
conv1                                 100x  0.108  0.070  0.054  0.039  0.028
conv1                                 300x  0.261  0.167  0.137  0.105  0.078
conv1                                 700x  0.627  0.343  0.279  0.209  0.155
conv1                                1000x  0.921  0.503  0.382  0.277  0.207
layer1.0.conv1                        100x  0.089  0.057  0.046  0.035  0.026
layer1.0.conv1                        300x  0.278  0.151  0.118  0.086  0.065
layer1.0.conv1                        700x  0.745  0.389  0.285  0.190  0.132
layer1.0.conv1                       1000x  1.130  0.601  0.442  0.292  0.195
layer1.0.conv2                        100x  0.089  0.057  0.047  0.035  0.026
layer1.0.conv2                        300x  0.275  0.149  0.116  0.085  0.064
layer1.0.conv2                        700x  0.757  0.398  0.289  0.191  0.134
layer1.0.conv2                       1000x  1.135  0.607  0.445  0.293  0.191
layer1.1.conv1                        100x  0.089  0.056  0.045  0.034  0.026
layer1.1.conv1                        300x  0.279  0.151  0.115  0.083  0.063
layer1.1.conv1                        700x  0.769  0.401  0.297  0.197  0.136
layer1.1.conv1                       1000x  1.161  0.615  0.456  0.298  0.201
layer1.1.conv2                        100x  0.086  0.055  0.045  0.034  0.026
layer1.1.conv2                        300x  0.287  0.151  0.115  0.084  0.060
layer1.1.conv2                        700x  0.783  0.410  0.298  0.198  0.133
layer1.1.conv2                       1000x  1.158  0.623  0.459  0.303  0.200
layer1.2.conv1                        100x  0.087  0.055  0.044  0.033  0.026
layer1.2.conv1                        300x  0.291  0.154  0.115  0.084  0.061
layer1.2.conv1                        700x  0.777  0.412  0.301  0.199  0.135
layer1.2.conv1                       1000x  1.175  0.624  0.473  0.308  0.202
layer1.2.conv2                        100x  0.084  0.054  0.044  0.034  0.025
layer1.2.conv2                        300x  0.284  0.149  0.114  0.082  0.061
layer1.2.conv2                        700x  0.787  0.410  0.307  0.197  0.134
layer1.2.conv2                       1000x  1.162  0.632  0.457  0.299  0.196
layer2.0.conv1                        100x  0.089  0.054  0.043  0.033  0.026
layer2.0.conv1                        300x  0.310  0.159  0.119  0.082  0.060
layer2.0.conv1                        700x  0.877  0.460  0.325  0.208  0.143
layer2.0.conv1                       1000x  1.300  0.694  0.507  0.327  0.214
layer2.0.conv2                        100x  0.087  0.051  0.041  0.032  0.025
layer2.0.conv2                        300x  0.321  0.163  0.122  0.084  0.059
layer2.0.conv2                        700x  0.897  0.475  0.349  0.226  0.148
layer2.0.conv2                       1000x  1.342  0.722  0.529  0.354  0.229
layer2.0.shortcut.0                   100x  0.100  0.065  0.052  0.038  0.030
layer2.0.shortcut.0                   300x  0.266  0.152  0.124  0.095  0.072
layer2.0.shortcut.0                   700x  0.740  0.366  0.281  0.189  0.141
